visit_date,number_of_visits,username,store_name,delivery_days,wh,gcu,barangay,city,long,lat,store_profile,last_delivered_date,has_tried_elista,delivered_order_ids,delivered_categories,bakit hindi umorder si customer?,latest_order_status,cancellation_reason,no_delivered_orders,bucket
,,ss20221122u961463,ZCA's  Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9677885,10.38055523,Non Key Account,2022-11-25,No,,,,cancelled,,0,Churned (60+ Days)
,,ss20221125u963173,Rizwood cantteen,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.98134,10.39254,Non Key Account,2023-01-06,No,,,,delivered,,0,Churned (60+ Days)
,,ss20221128u964265,s&m,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9805597,10.3895169,Non Key Account,2023-01-20,No,,,,delivered,,0,Churned (60+ Days)
,,ss20221202u966143,RJ store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.97966268,10.39309767,Non Key Account,2022-12-30,No,,,,delivered,,0,Churned (60+ Days)
,,ss20221213u970683,Laperian store ,"Monday, Wednesday, Friday",CB,CB02,Poblacion Occidental,Consolacion,123.976285,10.383294,Non Key Account,2024-08-02,No,,,,delivered,,0,Churned (60+ Days)
,,ss20221215u971528,Amy store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9791052,10.3929569,Non Key Account,2023-04-28,No,,,,delivered,,0,Churned (60+ Days)
,,ss20221223u974005,Zhydooameerah Grocery ,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.96949988,10.38570457,Non Key Account,2023-01-30,No,,,,delivered,,0,Churned (60+ Days)
,,ss20221229u975385,sari sari store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.970932,10.396282,Non Key Account,2023-01-06,No,,,,delivered,,0,Churned (60+ Days)
,,ss20221230u975487,Ford store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9755146,10.378085,Non Key Account,2023-04-03,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230117u981657,Mirasol Roble store ,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9637286,10.3817593,Non Key Account,2023-02-20,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230124u984312,Honesty Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.97172229,10.38264801,Non Key Account,2024-06-24,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230214u993535,Joan store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.97015689,10.3837047,Non Key Account,2023-02-22,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230214u993553,Chanly store ,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.97014935,10.38261756,Non Key Account,2023-03-24,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230222u997971,Cassie & Jk Store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.97760002,10.3944466,Non Key Account,2024-04-24,No,,,,cancelled,,0,Churned (60+ Days)
,,ss20230319u1011085,VincentGrace Mini Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9692788,10.3891701,Non Key Account,2023-10-20,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230328u1017993,Lelibeth sari sari store ,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9748236,10.3881151,Non Key Account,2023-07-14,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230405u1023949,Casmay sari sari store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9832591,10.3931976,Non Key Account,2023-04-19,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230419u1032455,Alfie Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.965227,10.386659,Non Key Account,2025-10-31,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230421u1034017,PM'S Corner,"Monday, Wednesday, Friday",CB,CB02,Cansaga,Consolacion,123.9637462,10.3857153,Non Key Account,2023-09-22,No,,,,cancelled,,0,Churned (60+ Days)
,,ss20230425u1036805,psyche's store ,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.97140915,10.37678309,Non Key Account,2024-05-29,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230508u1046477,Psyche's Variety,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.97141686,10.37677847,Non Key Account,2026-01-28,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230512u1049710,Felix adog,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.97101151,10.38887074,Non Key Account,2023-08-18,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230531u1063035,Xia's store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9735576,10.38161352,Non Key Account,2023-06-30,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230608u1068667,DISCIPLES Convenience Store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9769196,10.3860808,Non Key Account,2023-10-27,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230628u1081250,grethel store ,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9709661,10.3889003,Non Key Account,2023-06-30,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230628u1081432,Ayie store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9623101,10.3849373,Non Key Account,2024-07-26,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230718u1095891,Precious Sarisari Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9668094,10.3854422,Non Key Account,2023-08-25,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230731u1103717,Dafalle,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.97185406,10.37984355,Non Key Account,2023-09-29,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230805u1106492,Donna Eatery,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.97704581,10.38527942,Non Key Account,2024-01-24,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230815u1113517,Dafale Sari Sari Store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9718333,10.3800167,Non Key Account,2025-12-19,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230818u1116454,Yongli's Store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9772343,10.3915247,Non Key Account,2024-04-03,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230902u1129237,Gerry store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9766634,10.3779764,Non Key Account,2024-01-22,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230903u1129511,YBAÑEZ STORE,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9689354,10.3893903,Non Key Account,2023-11-27,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230909u1134040,Zhai's Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9662328,10.3844845,Non Key Account,2024-09-11,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230911u1135927,Irish store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.9707909,10.3761015,Non Key Account,2023-09-18,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230916u1140224,Cres Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.97240491,10.38353385,Non Key Account,2023-09-22,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230929u1148797,Ate Everil's Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.96975755,10.38639699,Non Key Account,2024-03-22,No,,,,delivered,,0,Churned (60+ Days)
,,ss20230930u1149931,DKA Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9709251,10.3818047,Non Key Account,2024-01-31,No,,,,delivered,,0,Churned (60+ Days)
,,ss20231001u1150135,Nora store ,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.97528255,10.37119017,Non Key Account,2023-10-18,No,,,,delivered,,0,Churned (60+ Days)
,,ss231101u05327,Disciples Convenience Store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9776031,10.3861299,Non Key Account,2024-09-06,No,,,,cancelled,,0,Churned (60+ Days)
,,ss231228u95264,my store,"Monday, Wednesday, Friday",CB,CB02,Jugan,Consolacion,123.97640565,10.3710994,Non Key Account,2024-01-05,No,,,,cancelled,,0,Churned (60+ Days)
,,ss240124u33438,Samianne's Variety Store,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.97760438,10.39114885,Non Key Account,2026-03-18,No,,,,delivered,,0,Churned (60+ Days)
,,ss240128u44048,Jocelyn,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9658871,10.3799284,Non Key Account,2024-10-07,No,,,,delivered,,0,Churned (60+ Days)
,,ss240207u56004,Oliver Refreshments ,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.97201801,10.382964,Non Key Account,2024-02-12,No,,,,delivered,,0,Churned (60+ Days)
,,ss240215u51462,LuckyLyn Store,"Monday, Wednesday, Friday",CB,CB02,Lamac,Consolacion,123.9679396,10.3876569,Non Key Account,2024-10-14,No,,,,delivered,,0,Churned (60+ Days)
,,ss240222u66853,RD Store,"Monday, Wednesday, Friday",CB,CB02,Pitogo,Consolacion,123.9730853,10.370957,Non Key Account,2024-12-13,No,,,,delivered,,0,Churned (60+ Days)
,,ss240225u12363,Zyrika Iona,"Monday, Wednesday, Friday",CB,CB02,San Vicente,Liloan,123.9813637,10.3992064,Non Key Account,2024-10-30,No,,,,delivered,,0,Churned (60+ Days)
,,ss240302u55661,Ting sari sari ,"Monday, Wednesday, Friday",CB,CB02,Yati,Liloan,123.9795294,10.3969321,Non Key Account,2024-09-09,No,,,,delivered,,0,Churned (60+ Days)
